%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
06:40:26:373;;;;;;;;;;;;;;06:40:26:366;1447954824.16;(0.32050912380218505, 0.2432926601833767);25.9588451385;1.0;2;0;0;0;0;();(0.0, 0.0);
06:40:26:481;;;;;;;;;;;;;;06:40:26:452;1447954824.23;(0.32052533626556395, 0.2428679572211372);26.3234615326;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:484;;;;;;;;;;;;;;06:40:26:452;1447954824.23;(0.32052533626556395, 0.2428679572211372);26.3234615326;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:486;;;;;;;;;;;;;;06:40:26:452;1447954824.23;(0.32052533626556395, 0.2428679572211372);26.3234615326;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:489;;;;;;;;;;;;;;06:40:26:452;1447954824.23;(0.32052533626556395, 0.2428679572211372);26.3234615326;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:491;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:493;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:497;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:500;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:503;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:504;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:507;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:509;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:510;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:513;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:515;;;;;;;;;;;;;;06:40:26:490;1447954824.29;(0.3205157518386841, 0.24313913981119795);25.7261180878;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:723;;;;;;;;;;;;;;06:40:26:698;1447954824.49;(0.32071173191070557, 0.24309048122829857);26.4904537201;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:725;;;;;;;;;;;;;;06:40:26:698;1447954824.49;(0.32071173191070557, 0.24309048122829857);26.4904537201;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:728;;;;;;;;;;;;;;06:40:26:698;1447954824.49;(0.32071173191070557, 0.24309048122829857);26.4904537201;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:26:731;;;;;;;;;;;;;;06:40:26:698;1447954824.49;(0.32071173191070557, 0.24309048122829857);26.4904537201;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
