%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
04:37:48:636;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
04:37:48:641;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:642;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:642;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:642;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:642;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:642;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:643;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:643;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:643;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:643;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:643;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:644;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:644;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:644;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:48:644;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
