%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
07:51:53:432;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(0.0, 0.0);
07:51:53:436;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:437;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:437;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:437;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:437;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:437;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
07:51:53:438;1448046471.38;(0.5932063579559326, 0.41086752149793837);22.3958625793;0.993537322109;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
